marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate
TMEFF2,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637
STEAP2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637
GRPR,CD70,AND,18,0.0,0.0,0.00075075077,0.0,0.0,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637
KLK2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.00079176563,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637
TMPRSS2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0008335649,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,0.011363637,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.011363637
FOLR1,KLK2,AND,18,0.0,0.0,0.0031364472,0.015699038,0.06896552,0.039518073,prostate gland,luminal cell of prostate epithelium,0.0125123225,exocrine gland,duct epithelial cell,4,3825,3,10277,-0.015699038,-0.0125123225
TACSTD2,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0019449848,0.015104584,tongue,basal cell,0.015104584,tongue,basal cell,4,15214,4,15214,0.0,-0.015104584
STEAP2,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.015860096,tongue,stratified squamous epithelial cell,0.015860096,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.015860096
DLL3,FOLR1,AND,18,0.0,0.0,0.0,0.0,0.009090909,0.016666668,uterus,ciliated epithelial cell,0.016666668,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.016666668
SLC45A3,CD70,AND,18,0.0,0.0,0.0024291708,0.0,0.003125,0.016666668,uterus,ciliated epithelial cell,0.016666668,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.016666668
SLC45A3,DLL3,AND,18,0.0,0.016312998,0.028634945,0.0,0.031111112,0.033333335,uterus,ciliated epithelial cell,0.033333335,uterus,ciliated epithelial cell,2,317,2,317,0.016312998,-0.017020337
CD70,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,0.017045455,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.017045455
HPN,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.003717472,0.017343955,liver,hepatocyte,0.017343955,liver,hepatocyte,4,7400,4,7400,0.0,-0.017343955
STEAP4,GRPR,AND,18,0.0,0.0,0.015477929,0.0,0.008888889,0.019763978,pancreas,pancreatic acinar cell,0.019763978,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.019763978
CD70,FOLR1,AND,18,0.0,0.0,0.0,0.0,0.0019157088,0.020150987,uterus,ciliated epithelial cell,0.020150987,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.020150987
HPN,DLL3,AND,18,0.0,0.018620688,0.029146263,0.00039588282,0.026666667,0.03885317,uterus,epithelial cell of uterus,0.03885317,uterus,epithelial cell of uterus,2,1319,2,1319,0.018224806,-0.02023248
GRPR,MME,AND,18,0.0,0.0,0.007349967,0.0,0.0042643924,0.020833334,endocrine gland,neuro-medullary thymic epithelial cell,0.020833334,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.020833334
PSCA,CDH16,AND,18,0.0,0.0,0.0,0.0,0.00079176563,0.024218,tongue,stratified squamous epithelial cell,0.024218,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.024218
STEAP1,GRPR,AND,18,0.0,0.0,0.016913371,0.0,0.0044444446,0.025296006,pancreas,pancreatic acinar cell,0.025296006,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.025296006
DLL3,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.02631579
CD70,KLK2,AND,18,0.0,0.0,0.0025353956,0.0,0.006849315,0.03125,prostate gland,B cell,0.02631579,tongue,taste receptor cell,2,29,2,75,0.0,-0.02631579
MME,DLL3,AND,18,0.0,0.0,0.0070775202,0.0016811471,0.020547945,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,-0.0016811471,-0.02631579
STEAP1,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.003717472,0.02631579,small intestine,fibroblast,0.02631579,small intestine,fibroblast,5,458,5,458,0.0,-0.02631579
TMEFF2,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.0,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.02631579
TMEFF2,DLL3,AND,18,0.0,0.0,0.022721665,0.0,0.04,0.02631579,tongue,taste receptor cell,0.02631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.02631579
STEAP2,CD70,AND,18,0.0,0.0,0.0024291708,0.0,0.0046875,0.02631579,small intestine,fibroblast,0.02631579,small intestine,fibroblast,5,458,5,458,0.0,-0.02631579
FOLH1,CD46,AND,18,0.4679487198591233,0.73111653,0.6882131,0.09437658,0.51555556,0.7576271,small intestine,paneth cell of epithelium of small intestine,0.7576271,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.63673997,-0.026510596
CD46,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0019449848,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.026515152
CD276,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.003717472,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.026515152
FOLH1,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.0,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,0.026515152,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.026515152
CD276,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.00055570994,0.02711963,uterus,ciliated epithelial cell,0.02711963,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.02711963
TACSTD2,CD276,AND,18,0.1780379056930542,0.30639988,0.3059231,0.100078166,0.18390805,0.33590966,uterus,epithelial cell of uterus,0.33590966,uterus,epithelial cell of uterus,2,1319,2,1319,0.20632172,-0.029509783
TMEFF2,CEACAM5,AND,18,0.0,0.0,0.00013071895,0.0,0.0017094017,0.030366562,lung,respiratory goblet cell,0.030366562,lung,respiratory goblet cell,4,978,4,978,0.0,-0.030366562
HPN,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.030927835,ovary,glandular epithelial cell,0.030927835,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.030927835
HPN,CEACAM5,AND,18,0.0,0.0,0.0022536397,0.0,0.005586592,0.03295474,lung,pulmonary alveolar type 1 cell,0.03295474,lung,pulmonary alveolar type 1 cell,4,3046,4,3046,0.0,-0.03295474
CEACAM5,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0,0.03328036,tongue,stratified squamous epithelial cell,0.03328036,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.03328036
DLL3,MSLN,AND,18,0.0,0.0,0.00044091712,0.0,0.0011114199,0.033333335,uterus,ciliated epithelial cell,0.033333335,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.033333335
FOLH1,CD70,AND,18,0.0,0.0,0.0018038332,0.0,0.0015625,0.033333335,uterus,ciliated epithelial cell,0.033333335,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.033333335
TACSTD2,MME,AND,18,0.02630187831819058,0.27934515,0.30127817,0.23109734,0.4909091,0.59090906,prostate gland,basal cell of prostate epithelium,0.31438887,bladder organ,bladder urothelial cell,6,26663,3,3440,0.048247814,-0.035043716
CD70,MSLN,AND,18,0.0,0.0,0.0,0.0,0.0016528926,0.035075497,uterus,ciliated epithelial cell,0.035075497,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.035075497
EPCAM,CD46,AND,18,0.729623156785965,0.89309764,0.873204,0.4510433,0.6877395,0.9285714,exocrine gland,ionocyte,0.9285714,exocrine gland,ionocyte,3,139,3,139,0.44205433,-0.035473764
FOLH1,DLL3,AND,18,0.0,0.014407726,0.02776555,0.0,0.053333335,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.014407726,-0.035592273
STEAP1,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.036471497,tongue,stratified squamous epithelial cell,0.036471497,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.036471497
EPCAM,DLL3,AND,18,0.0,0.016312998,0.029350867,0.0043202816,0.04888889,0.05348432,uterus,ciliated epithelial cell,0.05348432,uterus,ciliated epithelial cell,2,317,2,317,0.011992716,-0.037171323
MME,SLC34A1,AND,18,0.0,0.0,0.0,0.0,0.003717472,0.03787879,endocrine gland,neuro-medullary thymic epithelial cell,0.03787879,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.03787879
TMPRSS2,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.0046875,0.03846154,pancreas,B cell,0.03846154,pancreas,B cell,2,53,2,53,0.0,-0.03846154
STEAP4,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.0023094688,0.038539186,tongue,stratified squamous epithelial cell,0.038539186,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.038539186
HPN,CD70,AND,18,0.0,0.0,0.0013537125,0.0,0.0015625,0.038559817,uterus,ciliated epithelial cell,0.038559817,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.038559817
EPCAM,CD276,AND,18,0.16693143993616105,0.30639988,0.31000784,0.096785426,0.18965517,0.34497207,uterus,epithelial cell of uterus,0.34497207,uterus,epithelial cell of uterus,2,1319,2,1319,0.20961446,-0.038572192
MSLN,CDH16,AND,18,0.0,0.0,0.0,0.0,0.0016863407,0.041237112,ovary,glandular epithelial cell,0.041237112,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.041237112
FOLR1,CDH16,AND,18,0.0,0.0,0.0,0.0,0.03448276,0.041237112,ovary,glandular epithelial cell,0.041237112,ovary,glandular epithelial cell,3,232,3,232,0.0,-0.041237112
SLC45A3,CEACAM5,AND,18,0.0,0.0,0.00060226955,0.0,0.0046189376,0.0433526,colon,intestinal crypt stem cell of colon,0.0433526,colon,intestinal crypt stem cell of colon,3,1703,3,1703,0.0,-0.0433526
FOLH1,ADAM9,AND,18,0.28933149874210357,0.5294118,0.50345916,0.057871494,0.34666666,0.57288134,small intestine,paneth cell of epithelium of small intestine,0.57288134,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.4715403,-0.04346955
GRPR,NECTIN4,AND,18,0.0,0.0,0.006778783,0.0,0.0,0.04377288,pancreas,pancreatic acinar cell,0.04377288,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.04377288
PSCA,CD70,AND,18,0.0,0.0,0.00075075077,0.0,0.003125,0.045454547,prostate gland,B cell,0.044060558,bladder organ,B cell,4,446,2,75,0.0,-0.044060558
CEACAM5,KLK3,AND,18,0.0,0.0,0.0029445258,0.0009578544,0.027713627,0.04488778,colon,large intestine goblet cell,0.04488778,colon,large intestine goblet cell,3,961,3,961,-0.0009578544,-0.04488778
TMPRSS2,CD276,AND,18,0.19010590761899948,0.28823954,0.30876118,0.07845774,0.15517241,0.33333334,respiratory system,mucus secreting cell,0.33333334,respiratory system,mucus secreting cell,5,269,5,269,0.2097818,-0.045093805
CDH1,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0013892748,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.047348484
TMEFF2,GRPR,AND,18,0.0,0.0,0.013021282,0.0,0.008888889,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,0.047348484,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.047348484
PSCA,TMEFF2,AND,18,0.014615384675562382,0.050893553,0.06837973,0.0029801792,0.02739726,0.1,small intestine,enteroendocrine cell of small intestine,0.1,small intestine,enteroendocrine cell of small intestine,5,249,5,249,0.047913373,-0.04910645
FOLH1,PSCA,AND,18,0.05361281521618366,0.10323597,0.17822017,0.031653997,0.16831683,0.2,prostate gland,luminal cell of prostate epithelium,0.15254237,small intestine,enteroendocrine cell of small intestine,5,249,3,10277,0.071581975,-0.0493064
CEACAM5,DLL3,AND,18,0.0,0.0,0.0,0.0,0.0,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.0,-0.05
PSCA,DLL3,AND,18,0.0,0.0,0.0093186805,0.0,0.0042643924,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.0,-0.05
CEACAM5,CD70,AND,18,0.0,0.0,0.0,0.0,0.0003713331,0.05,tongue,taste receptor cell,0.05,tongue,taste receptor cell,2,29,2,29,0.0,-0.05
STEAP4,CD46,AND,18,0.5489636123180389,0.74184227,0.74061346,0.23770621,0.45333335,0.7941321,lung,pulmonary alveolar type 2 cell,0.7941321,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.5041361,-0.052289844
EPCAM,SLC34A1,AND,18,0.0,0.0,0.00010622477,0.0,0.0019449848,0.053030305,endocrine gland,neuro-medullary thymic epithelial cell,0.053030305,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.053030305
CD276,DLL3,AND,18,0.0,0.0,0.012975819,0.0,0.0102739725,0.05348432,uterus,ciliated epithelial cell,0.05348432,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.05348432
DLL3,MUC1,AND,18,0.0,0.0,0.003669535,0.00018566655,0.0051020407,0.05348432,uterus,ciliated epithelial cell,0.05348432,uterus,ciliated epithelial cell,2,317,2,317,-0.00018566655,-0.05348432
FOLH1,NECTIN4,AND,18,0.09057692512869835,0.21527778,0.24887392,0.032998964,0.16171618,0.27050623,tongue,salivary gland cell,0.27050623,tongue,salivary gland cell,2,734,2,734,0.18227881,-0.055228457
KLK3,MUC1,AND,18,0.019198718387633564,0.111409426,0.15174136,0.06966718,0.22796935,0.4,prostate gland,basal cell of prostate epithelium,0.16666667,exocrine gland,ionocyte,3,139,3,3440,0.041742243,-0.055257246
MSLN,KLK3,AND,18,0.0,0.0,0.0043170834,0.009571255,0.08181818,0.16414142,prostate gland,basal cell of prostate epithelium,0.05824268,exocrine gland,duct epithelial cell,4,3825,3,3440,-0.009571255,-0.05824268
STEAP4,EPCAM,AND,18,0.5588567316532135,0.7150738,0.72911626,0.21059114,0.40888888,0.77449083,lung,respiratory goblet cell,0.77449083,lung,respiratory goblet cell,4,978,4,978,0.5044827,-0.05941701
STEAP4,DLL3,AND,18,0.0,0.015565135,0.02928644,0.0,0.035555556,0.07631579,tongue,taste receptor cell,0.07631579,tongue,taste receptor cell,2,29,2,29,0.015565135,-0.060750656
CD70,ERBB2,AND,18,0.0,0.0,0.0022167214,0.0,0.0046875,0.062195122,uterus,ciliated epithelial cell,0.062195122,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.062195122
TACSTD2,EPCAM,AND,18,0.706855171918869,0.8844445,0.8547018,0.4903453,0.66283524,0.94736844,respiratory system,mucus secreting cell,0.94736844,respiratory system,mucus secreting cell,5,269,5,269,0.39409918,-0.06292397
HPN,MME,AND,18,0.019571107905358077,0.18665378,0.22399123,0.030967271,0.14126395,0.25037754,liver,hepatocyte,0.25037754,liver,hepatocyte,4,7400,4,7400,0.15568651,-0.06372376
STEAP4,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.003125,0.06439394,endocrine gland,neuro-medullary thymic epithelial cell,0.06439394,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.06439394
CD70,MME,AND,18,0.0,0.0,0.0015003574,0.0,0.006849315,0.064935066,endocrine gland,thymic fibroblast type 2,0.064935066,endocrine gland,thymic fibroblast type 2,5,3230,5,3230,0.0,-0.064935066
EPCAM,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.0046875,0.065679446,uterus,ciliated epithelial cell,0.065679446,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.065679446
CD276,CD70,AND,18,0.0,0.0,0.00010622477,0.0,0.0034246575,0.065708645,exocrine gland,adventitial cell,0.065708645,exocrine gland,adventitial cell,2,321,2,321,0.0,-0.065708645
GRPR,FOLR1,AND,18,0.0,0.0,0.0,0.0,0.00027785497,0.06666667,eye,retinal pigment epithelial cell,0.06666667,eye,retinal pigment epithelial cell,2,64,2,64,0.0,-0.06666667
CD70,MUC1,AND,18,0.0,0.0,0.00010622477,0.0,0.0033057851,0.06666667,skin of body,plasma cell,0.06666667,skin of body,plasma cell,2,80,2,80,0.0,-0.06666667
CDH16,MUC1,AND,18,0.0,0.0,0.00013071895,0.0,0.00079176563,0.06817654,uterus,ciliated epithelial cell,0.06817654,uterus,ciliated epithelial cell,2,317,2,317,0.0,-0.06817654
TMEFF2,CD70,AND,18,0.0,0.0,0.001326408,0.0,0.0019157088,0.071969695,endocrine gland,neuro-medullary thymic epithelial cell,0.071969695,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.0,-0.071969695
HPN,CDH1,AND,18,0.4073961585760117,0.5643236,0.559139,0.06522977,0.1578125,0.6374949,pancreas,pancreatic acinar cell,0.6374949,pancreas,pancreatic acinar cell,2,5482,2,5482,0.49909383,-0.07317132
CD276,CD46,AND,18,0.19010590761899948,0.2957616,0.3091935,0.09447552,0.19348659,0.36998326,lung,macrophage,0.36998326,lung,macrophage,4,16341,4,16341,0.20128606,-0.07422167
TACSTD2,CD46,AND,18,0.7417129218578339,0.8714075,0.86302584,0.5312636,0.75287354,0.9468085,tongue,salivary gland cell,0.9468085,tongue,salivary gland cell,2,734,2,734,0.34014392,-0.07540101
FOLH1,MSLN,AND,18,0.0,0.0,0.0031238135,0.0,0.0051020407,0.08,respiratory system,basal cell,0.08,respiratory system,basal cell,5,10003,5,10003,0.0,-0.08
CDH1,CD276,AND,18,0.13905677795410157,0.27971202,0.27629453,0.06802346,0.17049809,0.36191761,uterus,epithelial cell of uterus,0.36191761,uterus,epithelial cell of uterus,2,1319,2,1319,0.21168856,-0.08220559
TMEFF2,MME,AND,18,0.01381878424435854,0.09017224,0.17435758,0.010670565,0.09090909,0.17424244,endocrine gland,neuro-medullary thymic epithelial cell,0.17424244,endocrine gland,neuro-medullary thymic epithelial cell,2,112,2,112,0.07950167,-0.0840702
CD276,ERBB2,AND,18,0.07679487355053426,0.18181819,0.20119148,0.05690947,0.15134099,0.26766935,tongue,salivary gland cell,0.26766935,tongue,salivary gland cell,2,734,2,734,0.124908715,-0.08585116
STEAP2,GRPR,AND,18,0.0,0.0,0.01712582,0.0,0.008888889,0.087584466,pancreas,pancreatic acinar cell,0.087584466,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.087584466
TMPRSS2,CDH16,AND,18,0.0,0.0,0.00030853593,0.0,0.03448276,0.09275363,small intestine,paneth cell of epithelium of small intestine,0.09275363,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.09275363
CD70,DLL3,AND,18,0.0,0.0,0.0,0.0,0.0,0.1,tongue,taste receptor cell,0.1,tongue,taste receptor cell,2,29,2,29,0.0,-0.1
NECTIN4,CD70,AND,18,0.0,0.0,0.0014630015,0.0,0.0015625,0.1,tongue,taste receptor cell,0.1,tongue,taste receptor cell,2,29,2,29,0.0,-0.1
FOLR1,KLK3,AND,18,0.0,0.0,0.0031364472,0.011844414,0.06004619,0.1,exocrine gland,ionocyte,0.1,exocrine gland,ionocyte,3,139,3,139,-0.011844414,-0.1
FOLH1,CDH16,AND,18,0.0,0.0,7.159221e-05,0.0,0.0023094688,0.104347825,small intestine,paneth cell of epithelium of small intestine,0.104347825,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.104347825
STEAP4,TACSTD2,AND,18,0.5694117903709411,0.7073815,0.7285085,0.22888596,0.41777778,0.8144189,lung,respiratory goblet cell,0.8144189,lung,respiratory goblet cell,4,978,4,978,0.47849554,-0.107037425
GRPR,CD276,AND,18,0.0,0.0,0.008969616,0.0,0.0,0.10706632,pancreas,pancreatic acinar cell,0.10706632,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.10706632
MME,CDH16,AND,18,0.0,0.0,0.00010622477,0.0,0.03448276,0.10724638,small intestine,paneth cell of epithelium of small intestine,0.10724638,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.10724638
EPCAM,CDH16,AND,18,0.0,0.0,0.00030853593,0.0,0.03448276,0.10724638,small intestine,paneth cell of epithelium of small intestine,0.10724638,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.0,-0.10724638
MME,FOLR1,AND,18,0.0,0.0,0.0012397119,0.014547988,0.06896552,0.1111377,lung,macrophage,0.1111377,lung,macrophage,4,16341,4,16341,-0.014547988,-0.1111377
FOLH1,EPCAM,AND,18,0.43653845489025117,0.72168356,0.6721623,0.085982636,0.46666667,0.8338983,small intestine,paneth cell of epithelium of small intestine,0.8338983,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.63570094,-0.112214744
SLC45A3,MUC1,AND,18,0.019198718387633564,0.070463665,0.12902305,0.02294039,0.13274336,0.18470418,stomach,epithelial cell,0.18470418,stomach,epithelial cell,3,1596,3,1596,0.047523275,-0.11424052
TMEFF2,MUC1,AND,18,0.0,0.022246271,0.033353776,0.0012004948,0.015957447,0.13695867,lung,pulmonary alveolar type 1 cell,0.13695867,lung,pulmonary alveolar type 1 cell,4,3046,4,3046,0.021045776,-0.1147124
CD276,NECTIN4,AND,18,0.03838978856801987,0.12325247,0.123072214,0.028401528,0.11818182,0.24,respiratory system,basal cell,0.24,respiratory system,basal cell,5,10003,5,10003,0.09485094,-0.11674753
TMEFF2,MSLN,AND,18,0.0,0.0,0.0023958997,0.0,0.0051020407,0.11764706,musculature,epithelial cell,0.11764706,musculature,epithelial cell,2,48,2,48,0.0,-0.11764706
ADAM9,CDH16,AND,18,0.0,0.0,0.00017781698,0.0,0.03448276,0.12490754,tongue,stratified squamous epithelial cell,0.12490754,tongue,stratified squamous epithelial cell,4,12251,4,12251,0.0,-0.12490754
ADAM9,CD70,AND,18,0.0,0.0,0.0018231448,0.0,0.006849315,0.12631579,tongue,taste receptor cell,0.12631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.12631579
CDH1,CD70,AND,18,0.0,0.0,0.0025353956,0.0,0.003717472,0.12631579,tongue,taste receptor cell,0.12631579,tongue,taste receptor cell,2,29,2,29,0.0,-0.12631579
TMEFF2,FOLR1,AND,18,0.0,0.0,0.00046943242,0.0,0.005319149,0.1300546,lung,pulmonary alveolar type 1 cell,0.1300546,lung,pulmonary alveolar type 1 cell,4,3046,4,3046,0.0,-0.1300546
STEAP4,CD276,AND,18,0.16212375015020372,0.26076925,0.27101538,0.055322297,0.11551155,0.4,respiratory system,smooth muscle cell,0.4,respiratory system,smooth muscle cell,3,116,3,116,0.20544696,-0.13923076
PSCA,CD276,AND,18,0.02371794916689396,0.062049065,0.11381442,0.026710056,0.076033056,0.202421,bladder organ,bladder urothelial cell,0.202421,bladder organ,bladder urothelial cell,6,26663,6,26663,0.03533901,-0.14037193
GRPR,ADAM9,AND,18,0.0,0.0,0.012235509,0.0,0.008888889,0.14481483,pancreas,pancreatic acinar cell,0.14481483,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.14481483
DLL3,ERBB2,AND,18,0.0,0.0050747865,0.015120981,0.0015247703,0.01369863,0.15,tongue,taste receptor cell,0.15,tongue,taste receptor cell,2,29,2,29,0.0035500163,-0.14492522
TMPRSS2,ERBB2,AND,18,0.2868376150727272,0.43814784,0.48524612,0.18984386,0.42528737,0.620241,prostate gland,luminal cell of prostate epithelium,0.5833333,respiratory system,mucus secreting cell,5,269,3,10277,0.24830398,-0.14518547
ADAM9,DLL3,AND,18,0.0,0.0046296297,0.024246413,0.00088399055,0.026666667,0.15,tongue,taste receptor cell,0.15,tongue,taste receptor cell,2,29,2,29,0.0037456392,-0.14537038
TMPRSS2,CDH1,AND,18,0.5550427615642548,0.74799836,0.7478435,0.2484402,0.49174917,0.8947368,respiratory system,mucus secreting cell,0.8947368,respiratory system,mucus secreting cell,5,269,5,269,0.49955815,-0.14673847
FOLH1,CEACAM5,AND,18,0.0,0.0,0.0014925828,0.0,0.003125,0.14925373,respiratory system,mucus secreting cell,0.14925373,respiratory system,mucus secreting cell,5,269,5,269,0.0,-0.14925373
STEAP4,CDH1,AND,18,0.48058824241161346,0.62217927,0.627548,0.18787831,0.32343236,0.77218866,lung,pulmonary alveolar type 2 cell,0.77218866,lung,pulmonary alveolar type 2 cell,4,10845,4,10845,0.43430096,-0.1500094
STEAP1,NECTIN4,AND,18,0.12830142080783843,0.2600473,0.28584993,0.09207222,0.21818182,0.4118001,bladder organ,bladder urothelial cell,0.4118001,bladder organ,bladder urothelial cell,6,26663,6,26663,0.16797507,-0.1517528
TACSTD2,CD70,AND,18,0.0,0.0,0.002357333,0.0,0.006849315,0.15178572,tongue,regulatory T cell,0.15178572,tongue,regulatory T cell,2,88,2,88,0.0,-0.15178572
CEACAM5,FOLR1,AND,18,0.0,0.0,0.0011111111,0.0,0.01847575,0.15441394,lung,club cell,0.15441394,lung,club cell,4,1722,4,1722,0.0,-0.15441394
GRPR,ERBB2,AND,18,0.0,0.0,0.010745342,0.0,0.0044444446,0.1545309,pancreas,pancreatic acinar cell,0.1545309,pancreas,pancreatic acinar cell,2,5482,2,5482,0.0,-0.1545309
CDH1,CD46,AND,18,0.541558301448822,0.78535354,0.74927926,0.34372824,0.60536397,0.9418148,bladder organ,bladder urothelial cell,0.9418148,bladder organ,bladder urothelial cell,6,26663,6,26663,0.4416253,-0.15646124
NECTIN4,MME,AND,18,0.007503965403884651,0.12867808,0.12601608,0.054694045,0.2,0.41414142,prostate gland,basal cell of prostate epithelium,0.2859209,bladder organ,bladder urothelial cell,6,26663,3,3440,0.07398404,-0.1572428
MME,MSLN,AND,18,0.0,0.0,0.0013901116,0.009326477,0.09090909,0.20875303,prostate gland,basal cell of prostate epithelium,0.15934066,small intestine,"BEST4+ intestinal epithelial cell, human",5,877,3,3440,-0.009326477,-0.15934066
EPCAM,CDH1,AND,18,0.5441133677959442,0.8023088,0.7377853,0.31568104,0.5804598,0.9681159,small intestine,paneth cell of epithelium of small intestine,0.9681159,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.48662776,-0.16580713
CEACAM5,CD276,AND,18,0.0,0.0,0.0028138068,0.0,0.016166281,0.16666667,respiratory system,basal cell,0.16666667,respiratory system,basal cell,5,10003,5,10003,0.0,-0.16666667
