marker_a,marker_b,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,worst_xp_n_donors,worst_xp_n_cells,worst_all_n_donors,worst_all_n_cells,malignant_vs_benign,selectivity_xprostate,both_surface,on_frontier_all,on_frontier_surface,rank_surface
FOLH1,ADAM9,AND,18,0.2893314987421035,0.5294118,0.50345916,0.057871494,0.34666666,0.57288134,small intestine,paneth cell of epithelium of small intestine,0.57288134,small intestine,paneth cell of epithelium of small intestine,5,1657,5,1657,0.4715403,-0.04346955,True,False,False,96
EPCAM,ERBB2,AND,18,0.2882491752505302,0.46215853,0.4911206,0.25655675,0.53065133,0.73000276,lung,club cell,0.73000276,lung,club cell,4,1722,4,1722,0.20560178,-0.26784423,True,False,False,97
TMPRSS2,ERBB2,AND,18,0.2868376150727272,0.43814784,0.48524612,0.18984386,0.42528737,0.620241,prostate gland,luminal cell of prostate epithelium,0.5833333,respiratory system,mucus secreting cell,5,269,3,10277,0.24830398,-0.14518547,True,False,False,98
SLC45A3,ERBB2,AND,18,0.2740821078419685,0.44397846,0.46511358,0.07040316,0.35313532,0.43325302,prostate gland,luminal cell of prostate epithelium,0.1,ovary,glandular epithelial cell,3,232,3,10277,0.3735753,0.34397846,True,False,False,99
STEAP4,ERBB2,AND,18,0.2713921681046486,0.35553056,0.40655532,0.14557621,0.30254042,0.6210155,lung,respiratory goblet cell,0.6210155,lung,respiratory goblet cell,4,978,4,978,0.20995435,-0.26548493,True,False,False,100
STEAP1,ERBB2,AND,18,0.2581196680665016,0.43768996,0.45760217,0.18580352,0.34653464,0.50120485,prostate gland,luminal cell of prostate epithelium,0.37505275,lung,respiratory goblet cell,4,978,3,10277,0.25188643,0.06263721,True,False,False,101
FOLH1,HPN,AND,18,0.2479711145162582,0.5229412,0.5185651,0.026513025,0.36,0.22843373,prostate gland,luminal cell of prostate epithelium,0.09283841,liver,hepatocyte,4,7400,3,10277,0.49642813,0.43010277,True,False,False,102
ADAM9,ERBB2,AND,18,0.2170159101486206,0.35326487,0.36807477,0.13648689,0.37547892,0.5833333,respiratory system,mucus secreting cell,0.5833333,respiratory system,mucus secreting cell,5,269,5,269,0.21677798,-0.23006845,True,False,False,103
CDH1,ERBB2,AND,18,0.1971428602933883,0.44055083,0.4409467,0.20720935,0.46168584,0.7435981,lung,club cell,0.7435981,lung,club cell,4,1722,4,1722,0.23334149,-0.30304727,True,False,False,104
CD276,KLK3,AND,18,0.1920289844274521,0.2957616,0.31401902,0.050761174,0.17049809,0.27855423,prostate gland,luminal cell of prostate epithelium,0.050402902,exocrine gland,duct epithelial cell,4,3825,3,10277,0.2450004,0.24535868,False,False,False,105
