activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
TACSTD2,CD46,NOT,18,0.0,0.037302226,0.045577355,0.20372689,0.3042512,0.49291617,exocrine gland,progenitor cell of mammary luminal epithelium,0.49291617,exocrine gland,progenitor cell of mammary luminal epithelium,-0.16642466,-0.45561394
MSLN,ADAM9,NOT,18,0.0,0.0,0.002263654,0.013843614,0.11642123,0.45643154,ovary,ovarian surface epithelial cell,0.45643154,ovary,ovarian surface epithelial cell,-0.013843614,-0.45643154
TMEFF2,KLK2,NOT,18,0.0,0.0,0.000689771,0.0016978709,0.027272724,0.45925927,endocrine gland,neuro-medullary thymic epithelial cell,0.45925927,endocrine gland,neuro-medullary thymic epithelial cell,-0.0016978709,-0.45925927
NECTIN4,MUC1,NOT,18,0.12044226974248887,0.2020202,0.23963049,0.08749577,0.22442244,0.6651541,eye,corneal epithelial cell,0.6651541,eye,corneal epithelial cell,0.11452443,-0.4631339
EPCAM,CD46,NOT,18,0.0,0.034625143,0.046465658,0.109972686,0.2007435,0.5,large intestine,intestinal crypt stem cell of colon,0.5,large intestine,intestinal crypt stem cell of colon,-0.07534754,-0.46537486
TMEFF2,KLK3,NOT,18,0.0,0.0,0.0,0.0019207997,0.027272724,0.46666667,endocrine gland,neuro-medullary thymic epithelial cell,0.46666667,endocrine gland,neuro-medullary thymic epithelial cell,-0.0019207997,-0.46666667
TMEFF2,TACSTD2,NOT,18,0.0,0.010317594,0.024899133,0.0018861867,0.24000001,0.4814815,endocrine gland,neuro-medullary thymic epithelial cell,0.4814815,endocrine gland,neuro-medullary thymic epithelial cell,0.008431407,-0.4711639
STEAP4,NECTIN4,NOT,18,0.29787878394126893,0.52380955,0.5205517,0.17681217,0.59999996,1.0,small intestine,pericyte,1.0,small intestine,pericyte,0.34699738,-0.47619045
FOLR1,ADAM9,NOT,18,0.0,0.0,0.0019904627,0.01936488,0.06896552,0.47910705,lung,club cell,0.47910705,lung,club cell,-0.01936488,-0.47910705
STEAP2,HPN,NOT,18,0.11048107147216799,0.2525253,0.2839683,0.3680085,0.5214521,0.7319588,pancreas,fibroblast,0.7319588,pancreas,fibroblast,-0.115483195,-0.4794335
ADAM9,CD276,NOT,18,0.29749998450279236,0.42287707,0.42206666,0.26810986,0.36875,0.90476185,pancreas,intermediate monocyte,0.90476185,pancreas,intermediate monocyte,0.15476722,-0.48188478
CD276,HPN,NOT,18,0.015358151495456695,0.05122654,0.07278858,0.09038696,0.1532567,0.5346535,uterus,myofibroblast cell,0.5346535,uterus,myofibroblast cell,-0.039160416,-0.48342693
MUC1,ADAM9,NOT,18,0.0,0.01940878,0.04036786,0.100647524,0.2849162,0.5031482,lung,club cell,0.5031482,lung,club cell,-0.08123875,-0.4837394
HPN,NECTIN4,NOT,18,0.2503179371356964,0.47233132,0.46422407,0.08890565,0.36444443,0.9562989,liver,hepatocyte,0.9562989,liver,hepatocyte,0.38342565,-0.48396757
